ts	imei	mwra	c.katana	c.android.gm	c.dogalize	c.android.chrome	c.android.youtube	c.raider	c.android.vending	c.UCMobile.x86	c.updateassist	c.UCMobile.intl
2018-05-05 10:00:00	359043379931766452	0.00000	11.06115	12.03060	9.91193	11.61488	14.41566	0.00630	50.61159	59.89217	10.61973	29.26605
2018-05-05 10:01:00	3590433799317661479	1.00000	10.36927	13.33058	10.47183	5.81122	13.42850	0.00335	42.15179	33.30329	37.55184	79.39223
2018-05-05 10:02:00	863033069630348941	1.00000	11.13179	11.55974	10.19114	9.48536	11.48909	0.00687	31.98880	57.96025	98.36767	67.51165
2018-05-05 10:03:00	863033069630348891	0.00000	18.55737	7.52229	9.76952	10.09019	8.59293	11.20737	63.24643	68.14477	1.25216	70.80992
2018-05-05 10:04:00	863033069630348982	1.00000	16.23621	6.46232	14.43755	10.06295	7.56208	1.10024	52.21213	62.91701	39.23750	4.40841
2018-05-05 10:05:00	359043379931766890	0.00000	12.65449	11.31760	12.80750	7.63353	6.94398	0.03072	46.84296	72.10419	65.21307	53.36385
2018-05-05 10:06:00	8630330696303482394	1.00000	7.51715	9.71631	11.16790	14.25744	11.86472	0.00040	55.64279	51.34929	11.43310	93.70164
2018-05-05 10:07:00	8630330696303481552	1.00000	10.42239	11.16408	15.36993	12.40764	15.72517	0.00342	39.94261	78.25351	78.85671	51.24171
2018-05-05 10:08:00	8630330696303482410	0.00000	16.96537	7.81786	11.74992	8.24555	13.41690	2.28102	51.88202	51.86428	77.53953	71.13616
2018-05-05 10:09:00	8630330696303481289	0.00000	11.72449	10.31466	7.08285	9.68121	13.50829	0.01218	41.56365	63.83457	63.27459	1.02142
2018-05-05 10:10:00	863033069630348958	1.00000	6.48200	14.51990	13.13510	7.52134	14.10817	0.00026	37.33351	54.73201	10.08812	69.84591
2018-05-05 10:11:00	863033069630348776	1.00000	11.20218	7.70943	10.65267	16.74639	14.97533	0.00739	62.36371	71.85853	71.76151	27.26433
2018-05-05 10:12:00	359043379931766262	1.00000	10.64413	16.17764	13.77118	13.13154	13.02638	0.00432	59.77831	52.88830	39.76050	46.92409
2018-05-05 10:13:00	8630330696303482196	0.00000	12.80891	10.50329	8.91869	11.76489	11.83296	0.03588	52.37907	49.46369	91.64030	46.82800
2018-05-05 10:14:00	3590433799317662352	1.00000	10.77228	15.53533	11.81967	7.52382	9.66695	0.00485	53.30504	42.29614	62.89022	38.92305
2018-05-05 10:15:00	3590433799317662477	0.00000	12.37698	13.11067	10.58634	7.89571	10.23516	0.02336	47.02050	47.04162	89.58355	95.21592
2018-05-05 10:16:00	863033069630348107	1.00000	13.69644	8.62102	14.16561	10.61961	13.71863	0.08694	40.11795	68.96078	87.39332	85.01395
2018-05-05 10:17:00	3590433799317661867	1.00000	9.46276	9.06105	12.02962	13.46310	14.40821	0.00131	38.22885	59.04513	55.38803	75.22330
2018-05-05 10:18:00	359043379931766858	0.00000	14.73903	9.73932	13.26681	11.03001	12.87019	0.24626	50.80761	32.33113	64.82239	71.05049
2018-05-05 10:19:00	8630330696303481271	0.00000	14.89584	6.87455	11.39417	8.33017	12.16208	0.28812	40.63062	22.13666	6.01371	25.48407
2018-05-05 10:20:00	359043379931766130	0.00000	14.77566	10.85058	10.66824	11.00486	8.70795	0.25548	59.61717	60.05020	17.42088	99.56602
2018-05-05 10:21:00	359043379931766072	0.00000	11.24545	6.51732	11.78130	9.06083	8.93084	0.00763	64.14915	38.03195	53.83821	88.43242
2018-05-05 10:22:00	863033069630348784	0.00000	10.95468	9.14014	6.30132	8.90189	12.31115	0.00576	50.12707	51.02142	79.90973	95.56503
2018-05-05 10:23:00	3590433799317662287	1.00000	9.49773	7.63847	12.57057	13.66806	10.09183	0.00155	55.09838	61.46567	84.08779	54.70245
2018-05-05 10:24:00	8630330696303482261	1.00000	9.45526	7.79852	9.79254	15.17165	13.43974	0.00137	51.29366	51.98845	86.84568	3.37099
