latitude	longitude	store_name	code	location	imei
14.93333	-91.11667	Chichicastenango	GT	America/Guatemala	3590433799317661875
-8.99167	125.21972	Maliana	TL	Asia/Dili	359043379931766528
43.83125	5.03586	Cavaillon	FR	Europe/Paris	863033069630348230
-34.74785	-58.70072	Pontevedra	AR	America/Argentina/Buenos_Aires	3590433799317661636
35.82756	137.95378	Ina	JP	Asia/Tokyo	359043379931766486
22.19303	88.18466	Diamond Harbour	IN	Asia/Kolkata	3590433799317661537
40.5576	-74.28459	Woodbridge	US	America/New_York	3590433799317661602
39.43534	-84.20299	Lebanon	US	America/New_York	359043379931766833
23.1959	86.51499	Kenda	IN	Asia/Kolkata	359043379931766593
48.8765	2.18967	Rueil-Malmaison	FR	Europe/Paris	359043379931766320
38.40917	112.73333	Xinzhou	CN	Asia/Shanghai	3590433799317661818
55.8736	85.4265	Yashkino	RU	Asia/Novokuznetsk	863033069630348123
16.455	120.5875	La Trinidad	PH	Asia/Manila	359043379931766403
40.68066	-73.47429	Massapequa	US	America/New_York	863033069630348602
50.75767	-1.5443	Lymington	GB	Europe/London	8630330696303481974
31.12406	-97.90308	Copperas Cove	US	America/Chicago	863033069630348677
53.81667	-3.05	Blackpool	GB	Europe/London	359043379931766288
58.1908	40.17171	Danilov	RU	Europe/Moscow	863033069630348586
57.97472	33.2525	Valday	RU	Europe/Moscow	3590433799317661883
60.2052	24.6522	Espoo	FI	Europe/Helsinki	8630330696303481354
36.72544	3.55665	Thenia	DZ	Africa/Algiers	3590433799317662055
52.2	8.63333	Kirchlengern	DE	Europe/Berlin	8630330696303482444
14.53767	46.83187	Ataq	YE	Asia/Aden	8630330696303481388
-4.16694	-40.7475	Guaraciaba do Norte	BR	America/Fortaleza	863033069630348099
-34.64167	-60.47389	Chacabuco	AR	America/Argentina/Buenos_Aires	3590433799317661339
51.19139	6.51352	Korschenbroich	DE	Europe/Berlin	8630330696303481248
68.79833	16.54165	Harstad	NO	Europe/Oslo	3590433799317661628
