ts	imei	mwra	p.android.gm	p.android.chrome	p.android.packageinstaller	p.android.externalstorage	p.android.settings	p.android.documentsui	p.system	p.google	p.android.gms	p.olauncher	p.inputmethod.latin	p.katana	p.process.gapps	p.browser.provider	p.gms.persistent	p.android.vending	p.notifier	p.simulator	p.dogalize	p.android.defcontainer
2018-05-05 10:00:00	359043379931766452	0.00000	4.76403	10.88071	11.51360	11.78927	9.99354	6.87053	13.51346	30.32181	45.90705	56.23573	79.29044	10.79383	83.63731	6.32371	98.02549	68.85903	71.53462	2.25715	93.42594	21.75571
2018-05-05 10:01:00	3590433799317661479	1.00000	11.46891	8.28988	7.09764	13.77786	15.06889	12.69941	12.31459	34.23082	51.92276	34.73735	45.98593	99.59445	98.05942	7.98917	95.75324	84.32885	28.67616	33.34162	74.46069	50.49767
2018-05-05 10:02:00	863033069630348941	1.00000	14.17447	10.60933	10.48707	11.42372	12.21700	15.63323	10.68789	53.68019	44.14585	68.89177	80.90579	39.15136	35.96190	39.82428	23.28994	11.66910	73.73339	94.80023	29.08949	53.56893
2018-05-05 10:03:00	863033069630348891	0.00000	13.24902	12.97128	14.07949	12.04242	15.05862	14.44617	13.38765	41.23717	52.61024	81.69667	73.85500	85.74165	89.95390	23.31018	85.76856	83.81530	77.31641	77.72672	82.13086	77.27342
2018-05-05 10:04:00	863033069630348982	1.00000	10.03368	9.47160	8.07917	14.44551	15.64555	8.80989	7.84002	37.45341	48.43280	45.28203	19.27745	26.95881	61.93643	71.64654	85.38242	49.78533	37.98503	90.32310	39.01098	5.83207
2018-05-05 10:05:00	359043379931766890	0.00000	12.10487	7.06790	10.77449	11.54052	13.25847	8.67721	8.88003	66.25428	54.97297	63.55544	63.77575	66.61781	32.08551	48.18337	34.87881	99.56064	23.62307	23.62557	30.64260	16.19268
2018-05-05 10:06:00	8630330696303482394	1.00000	11.20547	13.54670	6.01785	13.97898	9.35211	8.64164	14.59811	50.17253	55.36973	45.56174	62.71154	6.37995	49.26883	14.26143	35.61887	99.91404	78.01157	0.10921	85.78794	3.44839
2018-05-05 10:07:00	8630330696303481552	1.00000	9.43152	11.19937	10.16669	13.59798	12.60449	14.07398	15.60397	48.35214	53.97121	51.37578	68.55050	74.45278	46.79925	99.01885	12.66284	62.62353	22.11113	9.42886	74.13334	84.01403
2018-05-05 10:08:00	8630330696303482410	0.00000	9.40552	11.05332	10.70500	12.36928	11.72829	12.71607	11.03679	53.82723	40.07570	56.76281	80.48845	68.66819	78.93986	70.78193	4.54058	3.58426	84.71937	40.42517	54.45794	30.66241
2018-05-05 10:09:00	8630330696303481289	0.00000	7.14433	11.25230	14.82949	14.69164	13.77117	11.75249	10.76002	48.10766	64.66361	40.62463	28.58429	11.06029	92.74713	92.41559	40.25147	33.18383	59.26034	77.34647	32.94507	63.39220
2018-05-05 10:10:00	863033069630348958	1.00000	8.00208	10.49634	12.76641	13.29484	13.58532	18.95704	14.44123	39.30842	70.03562	63.27364	11.16476	28.11440	97.19366	87.65408	75.86379	94.52354	64.93039	86.22209	51.12684	87.69291
2018-05-05 10:11:00	863033069630348776	1.00000	7.55647	14.12737	10.66646	14.73178	8.59000	7.39344	11.07116	48.07099	68.51254	50.69409	91.06073	9.21316	1.68505	9.10857	68.25335	57.52739	19.54737	66.02387	43.76655	4.40420
2018-05-05 10:12:00	359043379931766262	1.00000	9.69842	13.57498	11.10358	10.35738	8.02446	13.59160	13.75867	71.76951	92.54227	54.25071	93.59985	90.96818	89.01719	99.88499	8.63489	82.18976	93.38768	83.26067	48.56678	83.85376
2018-05-05 10:13:00	8630330696303482196	0.00000	9.51077	12.36622	10.14884	15.72626	14.29634	8.63555	15.31427	63.35956	34.90831	52.87297	40.21051	27.76084	93.84194	49.60506	42.37613	58.77726	35.48411	5.29142	34.07839	24.80855
2018-05-05 10:14:00	3590433799317662352	1.00000	10.49415	9.88310	8.75883	10.15709	11.31488	11.49076	10.15237	24.46271	53.93628	57.99455	92.81170	11.61878	30.17631	32.38274	99.06013	67.00823	39.54629	41.78771	25.13835	66.68349
2018-05-05 10:15:00	3590433799317662477	0.00000	12.51383	6.56312	11.66670	10.80008	12.56299	14.69917	12.58842	64.37576	35.66294	50.42859	58.81408	80.49768	30.16274	24.11036	84.78026	98.02230	97.52199	5.72390	70.76879	39.23331
2018-05-05 10:16:00	863033069630348107	1.00000	13.62646	8.54963	7.68123	16.69726	14.24581	10.50456	11.46562	75.70622	33.03083	56.67942	34.26834	19.58123	51.81448	99.38573	85.99501	86.89642	72.89066	71.32951	62.38580	37.88699
2018-05-05 10:17:00	3590433799317661867	1.00000	10.22642	15.53474	11.62429	12.89681	6.96602	8.48562	12.13759	51.47309	63.98149	42.83838	45.03349	91.21875	43.98920	4.80029	92.52310	46.24559	77.48235	7.04234	91.47746	49.01080
2018-05-05 10:18:00	359043379931766858	0.00000	11.82735	12.66140	4.86607	13.33510	12.07341	11.52725	9.94983	46.53995	57.71889	64.06174	38.29756	73.38944	4.02760	8.27247	1.84871	40.46046	1.86082	4.23065	30.04595	17.95979
2018-05-05 10:19:00	8630330696303481271	0.00000	12.37634	11.20355	11.66363	13.59070	13.03100	13.20485	10.40342	17.02187	41.36711	50.85902	92.23911	37.38561	9.55252	6.92477	78.65894	50.66354	20.01375	8.41753	70.70429	16.52785
